date,location,title,categories,source_link
2024-06-15,ecuador,Ecuadorian lawmakers block indictment of vice president whom authorities accuse of collusion,Political Events,https://apnews.com/article/ecuador-vice-president-abad-noboa-corruption-b3f8c20e4c3ae238f4c067db92208d6e
2024-06-14,ecuador,"Spiraling criminal violence causes morgue to overflow, foul odors to spread in Ecuadorian city",Other,https://apnews.com/article/ecuador-morgue-bodies-guayaquil-odors-b797b631fc6dcce3762b9f4efa685d83
2024-06-12,ecuador,"Besides Messi, there is Vinicius Júnior, Valverde, Garnacho and Pulisic to watch at Copa America",Other,https://apnews.com/article/lionel-messi-vinicius-copa-america-ff1e2928104b1f82a17d4dfe8c2824fb
2024-06-03,ecuador,5 dogs with military intelligence unit in violence-plagued Ecuador given medals for service,Security and Law Enforcement,https://apnews.com/article/ecuador-military-intelligence-dogs-searches-drugs-d6789ca75d0d27dd3947be454e09e2a2
2024-05-28,ecuador,"Almost 2 months after embassy raid, Ecuador is ‘ready’ to talk with Mexico and reach solution",International Relations and Diplomacy,https://apnews.com/article/ecuador-embassy-raid-mexico-immigration-foreign-minister-8443efbf5d7eb2d68005991261c40ea9
2024-05-23,ecuador,Top UN court declines to issue preliminary orders in Mexico-Ecuador dispute over Quito embassy raid,Security and Law Enforcement,https://apnews.com/article/mexico-ecuador-embassy-court-glas-371b2dd2c697c4f6ff6a5c03c7ef0ac9
2024-05-18,ecuador,Protesters rally in Peru against decree classifying seven gender identities as “mental illness”,Political Events,https://apnews.com/article/peru-ecuador-protests-decree-gender-identities-5af57e9e9626b3199820bf303b666f27
2024-05-17,ecuador,Argentina and Messi will play 2 warm-up matches in the U.S. ahead of Copa America,Sports,https://apnews.com/article/argentina-copa-america-exhibition-matches-messi-3947dea97bb10877c9ea8b0e52e55622
2024-05-11,ecuador,"8 people were killed in a shooting attack at a bar in Ecuador, local police say",Security and Law Enforcement,https://apnews.com/article/ecuador-bar-shooting-violence-gangs-734528e27f04cc6beac88d26876fb050
2024-05-01,ecuador,Ecuador defends raid on the Mexican Embassy and tells top UN court it acted to take in a criminal,Security and Law Enforcement,https://apnews.com/article/mexico-ecuador-embassy-icj-688138e78a58ecb3351e65fa8ab1afba
2024-04-30,ecuador,Mexico is taking Ecuador to the top UN court over its storming of the Mexican Embassy,Security and Law Enforcement,https://apnews.com/article/mexico-ecuador-embassy-un-world-court-e526dbf4a00408ca4f00328fb6dd0541
2024-04-29,ecuador,Ecuador files complaint against Mexico at top UN court in spat over embassy raid,Security and Law Enforcement,https://apnews.com/article/ecuador-mexico-embassy-raid-world-court-f0374b683d5e6dd21b9cd50a19b224cd
2024-04-22,ecuador,Ecuadorians vote overwhelmingly in referendum to approve toughening fight against gangs,Other,https://apnews.com/article/ecuador-referendum-gangs-noboa-85cf4190ba1bdd6028ff78180340499f
2024-04-16,ecuador,Ecuador rations electricity as drought persists in the northern Andes,Other,https://apnews.com/article/ecuador-power-rationing-drought-el-nino-6fe1c30af1ca11dbe4ff5a9896982d7d
2024-04-17,ecuador,Venezuela closes its embassy in Ecuador to protest the police raid on the Mexican Embassy there,Political Events,https://apnews.com/article/venezuela-closes-embassy-ecuador-mexico-3874d5469a5ef3665e2130b12c4c8776
2024-04-12,ecuador,AP Week in Pictures: Latin America and Caribbean,Other,https://apnews.com/article/latin-america-caribbean-top-photos-this-week-1b4b996dedc9bd730039f9d25bc8f011
2024-04-11,ecuador,Mexico wants UN to suspend Ecuador over its police raid on the Mexican embassy in Quito,Security and Law Enforcement,https://apnews.com/article/mexico-ecuador-embassy-international-court-of-justice-8ccb69cdf7271f8a3c2ca6433bcbc4eb
2024-04-09,ecuador,Mexico releases video of Ecuador’s raid on its embassy,International Relations and Diplomacy,https://apnews.com/article/mexico-ecuador-embassy-raid-878c73754d0f08bd74de1babfcdf1c2c
