,title,category,date,location,url
100,Bird flu found in backyard chickens,Animals,2024-07-10,Australia,https://www.news.com.au/technology/science/animals/backyard-chickens-in-the-act-have-tested-positive-to-bird-flu-making-it-the-second-site-where-the-virus-has-been-detected/news-story/c2d09c03977fba03c13c6674ed0c3d8c
101,‘Beautiful angel’ remembered after croc attack,National,2024-07-10,Australia,https://www.news.com.au/national/nt-police-offer-support-after-girl-12-killed-in-suspected-crocodile-attack/news-story/b3f163430c2357f491506093f40c874d
102,Cancer shock for X Factor murder accused,NSW / ACT Courts & Law,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/courts-law/x-factor-contestant-charged-with-murder-in-cancer-shock/news-story/15d13d755d23173d66e65d5875f3aace
103,New Wallabies captain’s big revival plans,Rugby,2024-07-10,Australia,https://www.news.com.au/sport/rugby/liam-wright-says-lessons-learnt-from-disastrous-world-cup-will-help-newlook-wallabies-be-better/news-story/163b01e9e3b50282ec84dc64dcd9872b
104,Rugby star loses six-figure court fight,UPDATEDRugby,2024-07-10,Australia,https://www.news.com.au/sport/rugby/rugby-star-loses-sixfigure-court-fight-after-being-cleared-of-sexual-assault/news-story/c1b3783d997a04b9a58800d3b6f63aa2
105,School evacuated amid police operation,UPDATEDNSW & ACT,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/news/high-school-evacuated-as-police-operation-unfolds-in-castle-hill-sydney/news-story/67cf6280ee5bf947ca327df7fe773a0b
106,Major hotel announces sudden closure,Business,2024-07-10,Australia,https://www.news.com.au/finance/business/hyatt-regency-to-cease-trading-in-one-aussie-city/news-story/7d02a680c0074f19d1aebcc82ff09289
107,New requirement for Lambo drivers,On the Road,2024-07-10,Australia,https://www.news.com.au/technology/motoring/on-the-road/south-australian-motorists-will-need-to-obtain-new-licence-to-drive-ultra-highpowered-cars/news-story/80441f7e32bb38c821ab3a873e732a7b
108,‘Be upfront:’ Albo dents rebel’s claims,LIVEPolitics,2024-07-10,Australia,https://www.news.com.au/national/politics/anthony-albanese-tells-senator-fatima-payman-to-be-upfront-over-timeline-conflict/news-story/e7676307a621fbc1a6f59e791bc3a0f1
109,Update after cocaine washes up on beaches,QLD Courts & Law,2024-07-10,Australia,https://www.news.com.au/national/queensland/courts-law/daniel-wayne-john-roberts-jacob-john-furfaro-thomas-james-pfeffer-charged-over-drug-trafficking-plot/news-story/974bed4dba19630e14ec89bad01cee01
110,Insane footage of Melbourne hit and run,UPDATEDOn the Road,2024-07-10,Australia,https://www.news.com.au/technology/motoring/on-the-road/cctv-footage-captures-moment-man-was-hit-by-his-own-vehicle-in-horror-cbd-carjacking/news-story/20776a2c947819658b7fea6c30c01bac
111,Penrith parts ways with star amid court case,NRL,2024-07-10,Australia,https://www.news.com.au/sport/nrl/taylan-may-has-quit-the-penrith-panthers-while-under-nrl-suspension-as-he-awaits-a-court-hearing/news-story/184ad9f71cec4e95436db3262f920a39
112,‘Lay off’: Call to end umpire bashing,AFL,2024-07-10,Australia,https://www.news.com.au/sport/afl/afl-coaches-want-less-focus-on-umpires-but-say-they-need-support/news-story/845ffb69a0b0737f44f6005c9c92f119
113,Westfield brawl over $285 jumper: court,SA,2024-07-10,Australia,https://www.news.com.au/national/south-australia/defence-lawyer-kassandra-girolamo-backs-teen-at-the-centre-of-marion-westfield-meltdown/news-story/ef62761121b4a6f16f2ef4d42456af45
114,‘Get worse’: Worrying trend for renters,Real Estate,2024-07-10,Australia,https://www.news.com.au/finance/real-estate/rents-across-australia-continue-to-skyrocket-increasing-more-than-10-per-cent-in-the-last-12-months/news-story/723fa0c47a25e77b7a1deb6dea7000fe
115,Fresh blow for Charlie Stevens’ family,SA,2024-07-10,Australia,https://www.news.com.au/national/south-australia/sa-health-staff-suspended-after-allegedly-inappropriately-accessing-top-cops-sons-medical-records/news-story/ed15ff0eae2bbb2f6476b9efe6f192af
